title,company,location,work_type,level,compensation,link,id,scraped_date
"Senior Software Engineer, Voice AI",Lutra,,,,,https://www.builtinla.com/job/senior-software-engineer-voice-ai/11257490,11257490,2026-09-23
"Senior Backend Engineer II, AI Native, Vertical Experiences",Life360,,,,,https://www.builtinla.com/job/senior-backend-engineer-ii-ai-native-pets-things-experiences/11138440,11138440,2026-09-23
Mid/Senior AI Engineer,TensorOps,,,,,https://www.builtinla.com/job/mid-senior-ai-engineer/11254728,11254728,2026-09-23
"Sr Solution Engineer, Cloud & AI Infrastructure - CTJ - Top Secret",Microsoft,,,,,https://www.builtinla.com/job/sr-solution-engineer-cloud-ai-infrastructure-ctj-top-secret/11238652,11238652,2026-09-23
AI Security Engineer,Microsoft,,,,,https://www.builtinla.com/job/ai-security-engineer/11251152,11251152,2026-09-23
Artificial Intelligence Digital Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/artificial-intelligence-digital-engineer/11064441,11064441,2026-09-23
"Principal Software Engineer, AI Infra Management and Ops",Microsoft,,,,,https://www.builtinla.com/job/principal-software-engineer-ai-infra-management-and-ops/11198675,11198675,2026-09-23
"Fullstack Engineer (TypeScript), AI Engineering: Duo Client SDK",GitLab,,,,,https://www.builtinla.com/job/fullstack-engineer-typescript-ai-engineering-duo-client-sdk/10788149,10788149,2026-09-23
Software Engineer III - AI/ML Platform Operations - Remote,CSAA Insurance Group,,,,,https://www.builtinla.com/job/software-engineer-iii-ai-ml-platform-operations-remote/10739503,10739503,2026-09-23
"Backend Engineer, AI Engineering: Duo Chat",GitLab,,,,,https://www.builtinla.com/job/backend-engineer-ai-engineering-duo-chat/10784901,10784901,2026-09-23
"AI Engineer — Conversational, Voice & Call Intelligence (Project Based)",TeamFicient,,,,,https://www.builtinla.com/job/ai-engineer-conversational-voice-call-intelligence-project-based/11244864,11244864,2026-09-23
AI Engineer — Data & Reporting Automation (Project Based),TeamFicient,,,,,https://www.builtinla.com/job/ai-engineer-data-reporting-automation-project-based/11244861,11244861,2026-09-23
"Staff Applied AI Engineer, Product & Agent Performance",Arcadia,,,,,https://www.builtinla.com/job/staff-applied-ai-engineer-product-agent-performance/10782880,10782880,2026-09-23
"Security Engineer, AI",Applied Systems,,,,,https://www.builtinla.com/job/security-engineer-ai/10777216,10777216,2026-09-23
Data & AI Engineer,Quantiphi,,,,,https://www.builtinla.com/job/data-ai-engineer/11242582,11242582,2026-09-23
Distinguished Engineer - AI Security,Citizens,,,,,https://www.builtinla.com/job/distinguished-engineer-ai-security/10768358,10768358,2026-09-23
Principal Security Engineer - AI Data Protection,Citizens,,,,,https://www.builtinla.com/job/principal-security-engineer-ai-data-protection/10768291,10768291,2026-09-23
Distinguished Engineer - AI Security,Citizens,,,,,https://www.builtinla.com/job/distinguished-engineer-ai-security/10768266,10768266,2026-09-23
Senior AI Engineer,GitLab,,,,,https://www.builtinla.com/job/senior-ai-engineer/10765244,10765244,2026-09-23
AI Ops Engineer GTM,Agiloft,,,,,https://www.builtinla.com/job/ai-ops-engineer-gtm/11241109,11241109,2026-09-23
AI/ML Engineer - School,Cengage Group,,,,,https://www.builtinla.com/job/ai-ml-engineer-school/10044635,10044635,2026-09-23
AI Engineer,Cadence (cadence.care),,,,,https://www.builtinla.com/job/ai-engineer/11238895,11238895,2026-09-23
"Subject Matter Expert - Senior Cloud, Data & AI Engineer","Blake Willson Group, LLC",,,,,https://www.builtinla.com/job/subject-matter-expert-senior-cloud-data-ai-engineer/11234217,11234217,2026-09-23
"AI Platform Engineer, Enablement and Governance Operations",Kraken Digital Asset Exchange,,,,,https://www.builtinla.com/job/ai-platform-engineer-enablement-and-governance-operations/11232191,11232191,2026-09-23
Principal AI Engineer,Mitratech,,,,,https://www.builtinla.com/job/principal-ai-engineer/10899674,10899674,2026-09-23
"Senior Software Engineer, AI",Stord,,,,,https://www.builtinla.com/job/senior-software-engineer-ai/11231652,11231652,2026-09-23
"Principal Backend Engineer, Conversational AI",Trellis (Trellisconnect),,,,,https://www.builtinla.com/job/principal-backend-engineer-conversational-ai/11230690,11230690,2026-09-23
"Senior Principal Backend Engineer, Conversational AI",Trellis (Trellisconnect),,,,,https://www.builtinla.com/job/senior-principal-backend-engineer-conversational-ai/11230667,11230667,2026-09-23
AI Engineer- Applied AI,Guidewire Software,,,,,https://www.builtinla.com/job/ai-engineer-applied-ai/11167154,11167154,2026-09-23
Software Engineer - AI,Uplimit,,,,,https://www.builtinla.com/job/software-engineer-ai/9750565,9750565,2026-09-23
Principal AI Engineer – Automation & AI,eClinical Solutions,,,,,https://www.builtinla.com/job/principal-ai-engineer-automation-ai/10319806,10319806,2026-09-23
AI & ML Engineer,Vyusoft,,,,,https://www.builtinla.com/job/ai-ml-engineer/10822024,10822024,2026-09-23
"Senior Solutions Engineer, AI/HPC Networking",DriveNets,,,,,https://www.builtinla.com/job/senior-solutions-engineer-ai-hpc-networking/11218949,11218949,2026-09-23
AI Value Engineer,PhoenixTeam,,,,,https://www.builtinla.com/job/ai-value-engineer/11215492,11215492,2026-09-23
"Sr. Full Stack Engineer - NextJS, AWS, AI",Perficient,,,,,https://www.builtinla.com/job/sr-full-stack-engineer-nextjs-aws-ai/11215265,11215265,2026-09-23
AI full stack Engineer,CoverMyMeds,,,,,https://www.builtinla.com/job/ai-full-stack-engineer/11214115,11214115,2026-09-23
AI & Automation Engineer (Enterprise),Magnet Forensics,,,,,https://www.builtinla.com/job/ai-automation-engineer-enterprise/11213170,11213170,2026-09-23
"Quality Engineer, AI-Native",Libra Solutions,,,,,https://www.builtinla.com/job/quality-engineer-ai-native/11210484,11210484,2026-09-23
Applied AI Engineer,Everpure,,,,,https://www.builtinla.com/job/applied-ai-engineer/11209060,11209060,2026-09-23
"Senior Software Engineer, AI",UpDoc,,,,,https://www.builtinla.com/job/senior-software-engineer-ai/11203792,11203792,2026-09-23
Senior Software Engineer for AI,Lumin Digital,,,,,https://www.builtinla.com/job/senior-software-engineer-ai/11202472,11202472,2026-09-23
"Embedded AI Engineer, On-Device Models",Deepgram,,,,,https://www.builtinla.com/job/embedded-ai-engineer-device-models/10085186,10085186,2026-09-23
AI Automation Engineer/ Sr. AI Automation Engineer,Applied Systems,,,,,https://www.builtinla.com/job/ai-automation-engineer-sr-ai-automation-engineer/10361450,10361450,2026-09-23
ServiceNow Lead Engineer (Power BI +AI),NewRocket,,,,,https://www.builtinla.com/job/servicenow-lead-engineer/11198817,11198817,2026-09-23
Forward Deployed AI/ML Engineer IV,E Source,,,,,https://www.builtinla.com/job/forward-deployed-ai-ml-engineer-iv/11195781,11195781,2026-09-23
Sr AI Data Engineer,GE Aerospace,,,,,https://www.builtinla.com/job/sr-ai-data-engineer/10839499,10839499,2026-09-23
"Senior Software Engineer, AI Infrastructure",Mirantis,,,,,https://www.builtinla.com/job/senior-software-engineer-ai-infrastructure/11194625,11194625,2026-09-23
Principal Applied AI Engineer,Appian Corporation,,,,,https://www.builtinla.com/job/principal-applied-ai-engineer/11194434,11194434,2026-09-23
Lead Applied AI Engineer,Appian Corporation,,,,,https://www.builtinla.com/job/lead-applied-ai-engineer/11194428,11194428,2026-09-23
Senior AI Software Developer,Leidos,,,,,https://www.builtinla.com/job/senior-ai-software-developer/10805031,10805031,2026-09-23
Lead AI Developer Tooling Engineer,Appian Corporation,,,,,https://www.builtinla.com/job/lead-ai-developer-tooling-engineer/11194420,11194420,2026-09-23
AI Engineer,LawPro.ai,,,,,https://www.builtinla.com/job/ai-engineer/11190703,11190703,2026-09-23
AI/ML Engineer (Active Secret) — Applied AI & Automation,Rackner,,,,,https://www.builtinla.com/job/ai-ml-engineer-active-secret-applied-ai-automation/11189718,11189718,2026-09-23
VP – Distinguished Engineer of Generative AI Engineering,Slate (slate.auto),,,,,https://www.builtinla.com/job/vp-distinguished-engineer-generative-ai-engineering/11186249,11186249,2026-09-23
AI Web Developer & Digital Production Specialist,Business Financial Group,,,,,https://www.builtinla.com/job/ai-web-developer-digital-production-specialist/11186242,11186242,2026-09-23
AI Engineer,Nava Benefits,,,,,https://www.builtinla.com/job/ai-engineer/11185532,11185532,2026-09-23
"Solution Engineer - Cloud & AI Software, Dev Tools, and AI",Microsoft,,,,,https://www.builtinla.com/job/solution-engineer-cloud-ai-software-dev-tools-and-ai/10745955,10745955,2026-09-23
AI Operations Engineer,Surge AI,,,,,https://www.builtinla.com/job/ai-operations-engineer/11179006,11179006,2026-09-23
ServiceNow AI Engineer,NewRocket,,,,,https://www.builtinla.com/job/servicenow-ai-developer/11177435,11177435,2026-09-23
"Principal Data Engineer, LLM/AI Platforms (Remote)",CrowdStrike,,,,,https://www.builtinla.com/job/principal-data-engineer-llm-ai-platforms-remote/9546563,9546563,2026-09-23
AI GTM Engineer,hillock.,,,,,https://www.builtinla.com/job/ai-gtm-engineer/9918280,9918280,2026-09-23
"Senior Software Engineer, Applied AI",TLDR Media,,,,,https://www.builtinla.com/job/senior-software-engineer-applied-ai/11175276,11175276,2026-09-23
"Platform Engineer, AI (Levels I, II, III)",True Anomaly,,,,,https://www.builtinla.com/job/platform-engineer-ai-levels-i-ii-iii/9769106,9769106,2026-09-23
"Staff Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/staff-platform-engineer-ai/9769108,9769108,2026-09-23
"Senior Platform Engineer, AI",True Anomaly,,,,,https://www.builtinla.com/job/senior-platform-engineer-ai/9769113,9769113,2026-09-23
AI Research Engineer,LanceDB,,,,,https://www.builtinla.com/job/ai-research-engineer/11170129,11170129,2026-09-23
Software Engineer AI Infra,Microsoft,,,,,https://www.builtinla.com/job/software-engineer-ai-infra/10864163,10864163,2026-09-23
Senior Solution Engineer - Cloud & AI Applications,Microsoft,,,,,https://www.builtinla.com/job/senior-solution-engineer-cloud-ai-applications/10562687,10562687,2026-09-23
Founding AI Quality & Release Engineer,Raydar,,,,,https://www.builtinla.com/job/founding-ai-quality-release-engineer/11159050,11159050,2026-09-23
"Principal Solutions Engineer, Data & AI",Raydar,,,,,https://www.builtinla.com/job/principal-solutions-engineer-data-ai/11159055,11159055,2026-09-23
AI Product Engineer / Forward Deployed Engineer,Raydar,,,,,https://www.builtinla.com/job/ai-product-engineer-forward-deployed-engineer/11159033,11159033,2026-09-23
1158 Senior AI Developer,Intetics,,,,,https://www.builtinla.com/job/1158-senior-ai-developer/11158765,11158765,2026-09-23
Artificial Intelligence Software Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/artificial-intelligence-software-engineer/10759752,10759752,2026-09-23
AI/ML Engineer,"Watkins Consulting, LLC",,,,,https://www.builtinla.com/job/ai-ml-engineer/9752665,9752665,2026-09-23
"Senior Software Engineer, Backend - Platform (Core AI Automation)",Coinbase,,,,,https://www.builtinla.com/job/senior-software-engineer-backend-platform-core-ai-automation/10294779,10294779,2026-09-23
Senior Software Engineer - Agentic AI Applications,Serko Limited,,,,,https://www.builtinla.com/job/senior-software-engineer-agentic-ai-applications/11154548,11154548,2026-09-23
